"","SampleID","ddPCR_count","sample_type"
"1","TX.0002.BAL.RML.DL.2",392,"Lower"
"2","TX.0002.Bronch.DL.3",9.8,"BKG"
"3","TX.0002.Supraglottic.3",3360,"Upper"
"4","TX.0003.BAL.RLL.DL.2",79.3333333333333,"Lower"
"5","TX.0003.Bronch.DL.3",13.7666666666667,"BKG"
"6","TX.0003.Bronch.DL.5",22.4,"BKG"
"7","TX.0003.Supraglottic.3",840,"Upper"
"8","TX.0004.BAL.RML.DL.2",170.333333333333,"Lower"
"9","TX.0004.Supraglottic.4",6556.66666666667,"Upper"
"10","TX.0005.BAL.RML.DL.2",189,"Lower"
"11","TX.0005.Bronch.DL.6",12.8333333333333,"BKG"
"12","TX.0005.Bronch.RL.6",2.47333333333333,"BKG"
"13","TX.0005.Supraglottic.3",1376.66666666667,"Upper"
"14","TX.0006.BAL.Lingula.DL.3",130.666666666667,"Lower"
"15","TX.0006.Bronch.DL.6",12.1333333333333,"BKG"
"16","TX.0006.Bronch.DL.7",7.46666666666667,"BKG"
"17","TX.0006.Bronch.RL.6",8.63333333333333,"BKG"
"18","TX.0006.Bronch.RL.7",3.73333333333333,"BKG"
"19","TX.0006.Supraglottic.4",8236.66666666667,"Upper"
"20","TX.0007.BAL.RLL.DL.2",86.3333333333333,"Lower"
"21","TX.0007.Bronch.DL.10",7,"BKG"
"22","TX.0007.Bronch.DL.4",8.63333333333333,"BKG"
"23","TX.0007.Supraglottic.3",73033.3333333333,"Upper"
"24","TX.0010.BAL.RLL.DL.1",44.3333333333333,"Lower"
"25","TX.0010.Bronch.DL.3",7,"BKG"
"26","TX.0010.Bronch.DL.6",9.56666666666667,"BKG"
"27","TX.0010.Supraglottic.3",5903.33333333333,"Upper"
"28","TX.0012.BAL.RML.DL.2",44.3333333333333,"Lower"
"29","TX.0012.Supraglottic.3",13253.3333333333,"Upper"
"30","TX.0013.BAL.RLL.DL.1",30.3333333333333,"Lower"
"31","TX.0013.Supraglottic.4",47600,"Upper"
"32","TX.0015.BAL.RML.DL.2",963.666666666667,"Lower"
"33","TX.0015.Bronch.DL.4",15.8666666666667,"BKG"
"34","TX.0015.Supraglottic.4",52266.6666666667,"Upper"
"35","TX.0016.BAL.RML.DL.2",350,"Lower"
"36","TX.0016.Bronch.DL.3",4.43333333333333,"BKG"
"37","TX.0016.Supraglottic.3",3850,"Upper"
"38","TX.0019.BAL.RLL.DL.2",98,"Lower"
"39","TX.0019.Supraglottic.3",4176.66666666667,"Upper"
"40","TX.0020.BAL.RML.DL.2",32.6666666666667,"Lower"
"41","TX.0020.Bronch.DL.6",15.4,"BKG"
"42","TX.0020.Supraglottic.6",86333.3333333333,"Upper"
"43","TX.0022.BAL.RML.DL.2",203,"Lower"
"44","TX.0022.Supraglottic.3",102900,"Upper"
"45","TX.0023.BAL.RML.DL.2",270.666666666667,"Lower"
"46","TX.0023.Supraglottic.4",67666.6666666667,"Upper"
"47","TX.0024.BAL.RML.DL.2",56,"Lower"
"48","TX.0024.Bronch.DL.6",8.16666666666667,"BKG"
